 totalejemplos 6246
 total INF 3988
 total NAV 2258
 total RES 4239

 distance distManhattanINF 5615.1808983194705
 distance distManhattanNAV 3722.160566509291
 distance distManhattanRES 5615.181149071727
 
 beaded, 	NAV 
 drum, 	NAV 
 stephen, 	INF 
 gifted, 	INF 
 drug, 	NAV 
 poker, 	INF 
 troubleshooting, 	NAV 
 burberry, 	INF 
 1879, 	INF 
 derick, 	INF 
 indian, 	NAV 
 dodge, 	NAV 
 offer, 	INF 
 amazon, 	NAV 
 1880, 	INF 
 keelhaulers, 	NAV 
 naked, 	INF 
 advance, 	NAV 
 sugar, 	INF 
 flop, 	NAV 
 fresno, 	NAV 
 discussion, 	INF 
 itr, 	NAV 
 clinic, 	NAV 
 halloween, 	NAV 
 sayings, 	INF 
 arena, 	INF 
 phylogenetic, 	NAV 
 potter, 	NAV 
 drink, 	INF 
 eset, 	INF 
 signs, 	INF 
 cheat, 	NAV 
 charter, 	INF 
 republican, 	NAV 
 pied, 	INF 
 miami, 	NAV 
 under, 	NAV 
 soul, 	INF 
 libe, 	INF 
 calls, 	INF 
 warren, 	INF 
 florist, 	NAV 
 system, 	NAV 
 prek, 	INF 
 kasabuski, 	NAV 
 favor, 	NAV 
 cheak, 	INF 
 palatka, 	INF 
 charlie, 	INF 
 cheap, 	INF 
 whitethorn, 	NAV 
 buddy, 	INF 
 patrol, 	NAV 
 tournament, 	INF 
 monolingual, 	INF 
 press, 	INF 
 patron, 	NAV 
 oklahoma, 	NAV 
 poses, 	NAV 
 eviction, 	NAV 
 ivy, 	NAV 
 charles, 	INF 
 avn7000, 	INF 
 odds, 	NAV 
 laundry, 	NAV 
 rum, 	INF 
 iron, 	INF 
 graduation, 	NAV 
 trojan, 	INF 
 pics, 	NAV 
 life, 	NAV 
 truth, 	NAV 
 graduate, 	NAV 
 worker, 	NAV 
 reloading, 	INF 
 mets, 	NAV 
 brinkman, 	INF 
 yahoo, 	NAV 
 consulting, 	INF 
 rates, 	INF 
 o'hara's, 	INF 
 printer, 	INF 
 works, 	INF 
 michigan, 	NAV 
 facial, 	NAV 
 rx8, 	INF 
 rated, 	INF 
 world, 	NAV 
 montessori, 	NAV 
 elementary, 	NAV 
 cara, 	NAV 
 carb, 	NAV 
 thicker, 	INF 
 must, 	INF 
 removal, 	INF 
 friends, 	NAV 
 cars, 	INF 
 care, 	NAV 
 card, 	INF 
 nitrous, 	INF 
 conover, 	INF 
 20church, 	NAV 
 vita, 	INF 
 nigris, 	INF 
 prix, 	INF 
 eminem, 	NAV 
 cart, 	NAV 
 cary, 	NAV 
 tourist, 	INF 
 cast, 	INF 
 inflatable, 	INF 
 augusta, 	NAV 
 case, 	NAV 
 teacher, 	NAV 
 song, 	NAV 
 walking, 	NAV 
 irs, 	NAV 
 cheapest, 	INF 
 aero, 	INF 
 mandinka, 	NAV 
 lakes, 	NAV 
 swimming, 	INF 
 cats, 	NAV 
 migraine, 	NAV 
 levon, 	NAV 
 vadhan, 	INF 
 drill, 	NAV 
 vash, 	INF 
 mercy, 	NAV 
 ripper, 	INF 
 wrestling, 	INF 
 soon, 	NAV 
 player's, 	INF 
 sony, 	INF 
 catholic, 	NAV 
 seven, 	NAV 
 breads, 	INF 
 watermelon, 	INF 
 universities, 	INF 
 rrr, 	NAV 
 giant, 	NAV 
 birth, 	INF 
 eurogroup, 	INF 
 sad, 	INF 
 swamper, 	INF 
 everything, 	NAV 
 paulding, 	INF 
 critchfield, 	INF 
 stanford, 	NAV 
 sam, 	INF 
 ridge, 	INF 
 camp, 	NAV 
 stock, 	INF 
 stripping, 	NAV 
 solo, 	NAV 
 can't, 	NAV 
 drive, 	NAV 
 morgan, 	NAV 
 fuji, 	INF 
 pink, 	INF 
 yourself, 	NAV 
 bilateral, 	NAV 
 ping, 	NAV 
 grove, 	NAV 
 sold, 	NAV 
 pima, 	INF 
 jose, 	NAV 
 josh, 	NAV 
 like, 	NAV 
 grieving, 	NAV 
 chromosomes, 	INF 
 san, 	NAV 
 williamson, 	INF 
 soma, 	NAV 
 years, 	NAV 
 7556, 	NAV 
 dance, 	INF 
 some, 	NAV 
 culture, 	NAV 
 cityof, 	INF 
 oceanfront, 	INF 
 altace, 	INF 
 christi, 	INF 
 textbooks, 	INF 
 scarlet, 	INF 
 cape, 	NAV 
 hiapo, 	NAV 
 spartanburg, 	NAV 
 words, 	NAV 
 ohio, 	NAV 
 buying, 	INF 
 calci, 	INF 
 fighter, 	NAV 
 flip, 	NAV 
 pron, 	INF 
 prom, 	NAV 
 nassau, 	NAV 
 ringtones, 	INF 
 verbal, 	NAV 
 broken, 	INF 
 fixing, 	NAV 
 hallock, 	NAV 
 corned, 	INF 
 tacoma, 	INF 
 westminster, 	INF 
 brunette, 	INF 
 beacon, 	INF 
 bowling, 	NAV 
 tour, 	INF 
 broker, 	INF 
 p5nd2, 	INF 
 purse, 	NAV 
 casinos, 	NAV 
 elton, 	INF 
 airboats, 	INF 
 finishing, 	NAV 
 function, 	NAV 
